time,deadCell_total
4.516129032,0
13.22580645,0
22.90322581,0
33.87096774,0
44.51612903,0
55.80645161,0.85
60.32258065,1.851851852
64.19354839,5.555555556
68.06451613,16.66666667
71.29032258,35.18518519
73.87096774,51.85185185
76.4516129,74.07407407
79.35483871,94.44444444
82.58064516,112.962963
86.12903226,140.7407407
91.93548387,187.037037
95.16129032,224.0740741
97.41935484,255.5555556
99.67741935,281.4814815
101.6129032,301.8518519
102.9032258,324.0740741
105.8064516,362.962963
109.6774194,407.4074074
112.5806452,438.8888889
115.8064516,457.4074074
120.3225806,488.8888889
123.5483871,507.4074074
127.4193548,518.5185185
130.6451613,529.6296296
133.5483871,529.6296296
137.0967742,529.6296296
